Time,radar,fall avg accel,fall burn time,fall dist,burn mass,fall time,ship mass,,,,,,,,,,,,,,,,,,,
80.04000007,1000.014027,27.51903133,5.989882575,355.1522411,830.5868013,14.30436662,4.484053135,,,,,,,,,,,,,,,,,,,
Time,radar,availthrust,thrust,thrust at alt,isp,atsip,mass,atmequiv,press,acc,acc,acc,fall dist,fall time,gravity,ship vertical speed,,acceleration,acceleration thrust,acceleration thrust at,,velocity,a,a after,calc thrust,
92.16000009,296.1990027,94.19484711,94.19484711,94.21056366,165.3996887,165.3918762,4.483130455,0.994674676,0.946336469,V(3.52745555455503,0.004342747, -9.07372081955371),205.5033702,2.289124706,9.797663271,-117.1564301,7.77580819,21.01095385,21.01095385,21.01445956,,-116.3753016,-9.732336187,,,
92.30000009,279.7150823,94.05303955,94.05303955,94.0687027,165.1510468,165.1428375,4.483130455,0.994910159,0.948674644,V(3.52901051085558,0.004198987, -9.07582412246828),218.3331453,2.149130668,9.798202194,-118.5208417,7.556135571,20.97932248,20.97932248,20.98281628,,-117.7422883,-9.764190751,,,
92.44000009,263.0401714,93.91003418,93.91003418,93.92564392,164.9002686,164.8916931,4.483130455,0.99514837,0.951044745,V(3.52982969124287,0.004055311, -9.07632232186658),231.5914711,2.009129099,9.798747397,-119.8855977,7.327245725,20.94742393,20.94742393,20.95090582,,-119.1065066,-9.744416539,,,
92.58000009,246.1743949,93.76583862,93.76583862,93.78140259,164.6474304,164.6384583,4.483130455,0.995389312,0.953446922,V(3.53083768729263,0.003907717, -9.07482712135034),245.2949441,1.869117464,9.799298884,-121.2507865,7.088248511,20.9152599,20.9152599,20.91873157,,-120.4698318,-9.73803701,,,
92.62000009,238.8875319,93.70368958,93.72442627,93.71921539,164.5748138,164.5657349,4.483130455,0.995458654,0.954486236,V(3.52866271106402,0.003851182, -9.07426980035073),251.2339111,1.809112205,9.79953716,-121.8356909,6.982468057,20.90139703,20.90602252,20.90486019,,-182.1715742,-1542.543559,,,
92.68000009,234.0101946,93.66213226,93.66213226,93.67764282,164.4655609,164.4563141,4.48196888,0.995563084,0.955182425,V(3.52919362448591,0.00381145, -9.07498150940202),255.2669268,1.774480176,9.799696379,-121.8077907,6.910764228,20.89754186,20.89754186,20.90100251,,-81.28895536,1681.376979,,,
92.72000009,229.1422214,93.62068939,93.62068939,93.63619232,164.3926544,164.3835449,4.479645252,0.995632625,0.955877711,V(2.76121794973097,0.000388471, -7.13228108935664),254.5657246,1.745138591,9.799855019,-121.3613452,6.838450883,20.8991302,20.8991302,20.90259095,,-121.6993303,-1010.259372,,,
92.76000009,224.2922352,93.57944489,93.57944489,93.59494781,164.3200836,164.3111267,4.477322102,0.99570191,0.956570889,V(1.99069698862574,-0.003140706, -5.18896725017768),253.8690627,1.71566964,9.800013081,-120.9153327,6.76563851,20.90076228,20.90076228,20.90422482,,-121.2496557,11.24186513,21.05186513,,
92.80000009,219.4600713,93.53840637,93.53840637,93.55387878,164.2478485,164.2390289,4.474998474,0.995770941,0.957261882,V(1.2203432224228,-0.006623405, -3.2459702155743),253.1794414,1.68607608,9.800170564,-120.4693414,6.692308283,20.90244431,20.90244431,20.90590183,,-120.8040967,11.13897332,20.94897332,,
92.84000009,214.6457611,93.49753571,93.49753571,93.51300049,164.1759491,164.1672668,4.472674847,0.995839717,0.957950693,V(0.45018186450928,-0.010052178, -1.30259473558758),252.4998189,1.656354382,9.800327468,-120.0236179,6.618443447,20.90416561,20.90416561,20.90762322,,-120.357755,11.15854333,20.96854333,,
92.88000009,209.8492761,93.45687103,93.45687103,93.4723053,164.1043854,164.0958252,4.470351696,0.995908238,0.958637395,V(-0.321173620904566,-0.013421958, 0.638875499695278),251.8257603,1.626514118,9.800483793,-119.5772548,6.544025426,20.90593255,20.90593255,20.90938513,,-119.9121257,11.14073221,20.95073221,,
92.92000009,205.070839,93.41638947,93.41638947,93.43180084,164.0331421,164.0247192,4.468028069,0.995976504,0.959321988,V(-1.09205799993701,-0.016722202, 2.5824324832783),251.1559133,1.596542095,9.800639539,-119.1309411,6.469038619,20.90774454,20.90774454,20.9111938,,-119.4609252,11.28001203,21.09001203,,
92.96000009,200.3100555,93.37609863,93.37609863,93.39149475,163.9622498,163.9539642,4.465704918,0.996044516,0.960004323,V(-1.86213704433262,-0.0199639, 4.52699522383842),250.4945529,1.566437158,9.800794707,-118.6847009,6.393456686,20.9095989,20.9095989,20.91304653,,-119.0195892,11.03339954,20.84339954,,
